crc32,savetype_code,rtc,description
8778b36a,3,0,"Bakuten Shoot Beyblade 2002 - Gekisen! Team Battle!! Seiryuu no Shou - Takao
			Hen (Japan)"
1d1bb02b,3,0,Bakuten Shoot Beyblade 2002 - Ikuze! Bakutou! Chou Jiryoku Battle!! (Japan)
494492dc,1,0,Baldur's Gate - Dark Alliance (Europe)
deedd7d9,1,0,Baldur's Gate - Dark Alliance (USA)
b98de3a4,1,0,Banjo-Pilot (Europe)
6e4030a1,1,0,Banjo-Pilot (USA)
817fd31d,1,0,Banjo-Pilot (prototype)
fb4f38e2,2,0,Banjo-Kazooie - Grunty's Revenge (Europe)
dfb5aba3,2,0,"Banjo-Kazooie - Grunty's Revenge (Europe, USA)"
106ed779,2,0,"Banjo-Kazooie - Grunty's Revenge (Europe, prototype)"
4e0f10fa,2,0,"Banjo-Kazooie - Grunty's Revenge (Europe, prototype earlier)"
67ad698f,2,0,Banjo-Kazooie - La Vendetta di Grunty (Italy)
32544634,2,0,Banjo-Kazooie - La Venganza de Grunty (Spain)
116194f2,0,0,Barbie - The Princess and the Pauper (Europe)
f508a7b7,0,0,Barbie - The Princess and the Pauper (USA)
5661e71a,0,0,Barbie and the Magic of Pegasus (Europe)
29d23835,0,0,Barbie and the Magic of Pegasus (USA)
db6160eb,1,0,Barbie as the Island Princess (USA)
4e8a650c,1,0,The Barbie Diaries - High School Mystery (Europe)
5c704cbe,1,0,The Barbie Diaries - High School Mystery (USA)
749339b2,0,0,Barbie - Groovy Games (Europe)
aa017567,0,0,Barbie - Groovy Games (USA)
7c6d9ef3,0,0,Barbie Horse Adventures (Europe)
ba184025,0,0,Barbie Horse Adventures - Blue Ribbon Race (USA)
7ca7aa12,0,0,Barbie in the 12 Dancing Princesses (Europe)
9c0abddb,0,0,Barbie in the 12 Dancing Princesses (USA)
f2b06467,2,0,Barnyard (Europe)
ff7987da,2,0,Barnyard (USA)
339f35b8,3,0,Baseball Advance (USA)
1326e683,2,0,Bass Tsuri Shiyouze! - Tournament wa Senryaku Da! (Japan)
ef3790d1,0,0,Batman - Rise of Sin Tzu (USA)
783ac0c7,0,0,Batman - Vengeance (Europe)
9fa17935,0,0,Batman - Vengeance (USA)
83c90106,1,0,"Batman Begins (Europe, USA)"
6dce8a26,2,0,Battle B-Daman (USA)
5789f441,2,0,Battle B-Daman - Fire Spirits! (USA)
d9516e50,3,0,Battle Network Rockman EXE (Japan)
98e4f096,3,0,Battle Network Rockman EXE 2 (Japan)
41576087,3,0,"Battle Network Rockman EXE 2 (Japan, rev. 1)"
1c57724e,3,0,Battle Network Rockman EXE 3 (Japan)
e48e6bc9,3,0,"Battle Network Rockman EXE 3 (Japan, rev. 1)"
1f13c41f,3,0,"Battle Network Rockman EXE 3 Black (Japan, promo)"
